"species_id","common_name","taxonomic_name","method","Albany Thicket","Forests","Fynbos","Grassland","Indian Ocean Coastal Belt","Mixed","NA","Nama-Karoo","Other","Savanna","Succulent Karoo"
"171","Harrier-Hawk, African","Polyboroides typus","perc_pres",2,0,9,28,2,29,0,2,0,27,1
"171","Harrier-Hawk, African","Polyboroides typus","perc_cards",1,0,10,25,2,37,0,1,0,24,0
"172","Osprey, Western","Pandion haliaetus","perc_pres",3,0,7,14,6,43,0,0,0,27,0
"172","Osprey, Western","Pandion haliaetus","perc_cards",1,0,3,6,3,68,0,0,0,19,0
"173","Francolin, Coqui","Peliperdix coqui","perc_pres",0,0,0,16,0,17,0,0,0,66,0
"173","Francolin, Coqui","Peliperdix coqui","perc_cards",0,0,0,11,0,14,0,0,0,74,0
"174","Francolin, Crested","Dendroperdix sephaena","perc_pres",0,0,0,3,0,11,0,0,0,86,0
"174","Francolin, Crested","Dendroperdix sephaena","perc_cards",0,0,0,1,0,11,0,0,0,88,0
"176","Francolin, Grey-winged","Scleroptila afra","perc_pres",1,0,22,41,0,22,0,11,0,0,3
"176","Francolin, Grey-winged","Scleroptila afra","perc_cards",1,0,24,37,0,31,0,7,0,0,1
"177","Francolin, Shelley's","Scleroptila shelleyi","perc_pres",0,0,0,19,3,34,0,0,0,44,0
"177","Francolin, Shelley's","Scleroptila shelleyi","perc_cards",0,0,0,13,3,40,0,0,0,44,0
"178","Francolin, Red-winged","Scleroptila levaillantii","perc_pres",1,0,3,65,1,24,0,0,0,6,0
"178","Francolin, Red-winged","Scleroptila levaillantii","perc_cards",1,0,4,56,1,33,0,0,0,6,0
"179","Francolin, Orange River","Scleroptila gutturalis","perc_pres",0,0,0,64,0,18,0,2,0,15,0
"179","Francolin, Orange River","Scleroptila gutturalis","perc_cards",0,0,0,63,0,27,0,1,0,9,0
"180","Shearwater, Wedge-tailed","Ardenna pacifica","perc_pres",0,0,0,0,0,100,0,0,0,0,0
"180","Shearwater, Wedge-tailed","Ardenna pacifica","perc_cards",0,0,0,0,0,100,0,0,0,0,0
"181","Spurfowl, Cape","Pternistis capensis","perc_pres",1,0,53,0,0,33,0,4,2,0,7
"181","Spurfowl, Cape","Pternistis capensis","perc_cards",4,0,63,0,0,31,0,0,0,0,2
"182","Spurfowl, Red-billed","Pternistis adspersus","perc_pres",0,0,0,0,0,19,0,0,1,80,0
"182","Spurfowl, Red-billed","Pternistis adspersus","perc_cards",0,0,0,0,0,13,0,0,0,87,0
"183","Spurfowl, Natal","Pternistis natalensis","perc_pres",0,0,0,20,2,20,0,0,0,58,0
"183","Spurfowl, Natal","Pternistis natalensis","perc_cards",0,0,0,8,4,25,0,0,0,63,0
"185","Spurfowl, Swainson's","Pternistis swainsonii","perc_pres",0,0,0,48,0,14,0,1,0,38,0
"185","Spurfowl, Swainson's","Pternistis swainsonii","perc_cards",0,0,0,40,0,19,0,0,0,41,0
"188","Spurfowl, Red-necked","Pternistis afer","perc_pres",9,0,11,23,1,52,0,0,0,4,0
"188","Spurfowl, Red-necked","Pternistis afer","perc_cards",7,0,8,15,0,69,0,0,0,1,0
"189","Quail, Common","Coturnix coturnix","perc_pres",1,0,14,44,1,23,0,3,0,11,2
"189","Quail, Common","Coturnix coturnix","perc_cards",1,0,18,45,1,26,0,2,0,6,1
"19","Petrel, Soft-plumaged","Pterodroma mollis","perc_pres",20,0,60,0,0,20,0,0,0,0,0
"19","Petrel, Soft-plumaged","Pterodroma mollis","perc_cards",25,0,50,0,0,25,0,0,0,0,0
"190","Quail, Harlequin","Coturnix delegorguei","perc_pres",0,0,0,8,1,10,0,0,0,82,0
"190","Quail, Harlequin","Coturnix delegorguei","perc_cards",0,0,0,3,0,25,0,0,0,72,0
"192","Guineafowl, Helmeted","Numida meleagris","perc_pres",1,0,8,32,1,22,0,5,0,30,1
"192","Guineafowl, Helmeted","Numida meleagris","perc_cards",1,0,13,27,0,29,0,1,0,28,0
"193","Guineafowl, Crested","Guttera pucherani","perc_pres",0,0,0,0,5,36,0,0,0,58,0
"193","Guineafowl, Crested","Guttera pucherani","perc_cards",0,0,0,0,1,48,0,0,0,51,0
"196","Buttonquail, Common","Turnix sylvaticus","perc_pres",0,0,0,15,1,18,0,1,0,64,0
"196","Buttonquail, Common","Turnix sylvaticus","perc_cards",0,0,0,9,1,25,0,1,0,65,0
"197","Rail, African","Rallus caerulescens","perc_pres",1,0,8,46,2,27,0,1,0,15,0
"197","Rail, African","Rallus caerulescens","perc_cards",0,0,3,45,3,42,0,0,0,6,0
"198","Crake, Corn","Crex crex","perc_pres",0,0,0,45,3,25,0,0,0,28,0
"198","Crake, Corn","Crex crex","perc_cards",0,0,0,50,2,20,0,0,0,28,0
"199","Crake, African","Crecopsis egregia","perc_pres",0,0,2,27,0,21,0,0,0,49,0
"199","Crake, African","Crecopsis egregia","perc_cards",0,0,2,19,0,28,0,0,0,51,0
"2","Penguin, African","Spheniscus demersus","perc_pres",8,0,45,0,0,45,0,0,0,0,2
"2","Penguin, African","Spheniscus demersus","perc_cards",7,0,78,0,0,14,0,0,0,0,0
"200","Crake, Striped","Aenigmatolimnas marginalis","perc_pres",0,0,0,0,0,33,0,0,0,67,0
"200","Crake, Striped","Aenigmatolimnas marginalis","perc_cards",0,0,0,0,0,16,0,0,0,84,0
"201","Crake, Spotted","Porzana porzana","perc_pres",0,0,12,18,12,29,0,0,0,29,0
"201","Crake, Spotted","Porzana porzana","perc_cards",0,0,13,16,26,39,0,0,0,6,0
"202","Crake, Baillon's","Zapornia pusilla","perc_pres",0,0,14,26,3,41,0,0,0,16,0
"202","Crake, Baillon's","Zapornia pusilla","perc_cards",0,0,11,17,24,34,0,0,0,14,0
"203","Crake, Black","Zapornia flavirostra","perc_pres",1,0,10,20,2,27,0,0,0,39,0
"203","Crake, Black","Zapornia flavirostra","perc_cards",1,0,6,19,4,32,0,0,0,38,0
"204","Flufftail, White-winged","Sarothrura ayresi","perc_pres",0,0,0,100,0,0,0,0,0,0,0
"204","Flufftail, White-winged","Sarothrura ayresi","perc_cards",0,0,0,100,0,0,0,0,0,0,0
"205","Flufftail, Red-chested","Sarothrura rufa","perc_pres",0,0,10,44,3,26,0,0,0,17,0
"205","Flufftail, Red-chested","Sarothrura rufa","perc_cards",0,0,8,45,2,28,0,0,0,17,0
"206","Flufftail, Buff-spotted","Sarothrura elegans","perc_pres",1,0,7,20,8,47,0,0,0,17,0
"206","Flufftail, Buff-spotted","Sarothrura elegans","perc_cards",1,0,10,14,4,61,0,0,0,10,0
"207","Flufftail, Striped","Sarothrura affinis","perc_pres",2,0,36,36,0,25,0,0,0,2,0
"207","Flufftail, Striped","Sarothrura affinis","perc_cards",2,0,28,29,0,41,0,0,0,0,0
"208","Swamphen, African","Porphyrio madagascariensis","perc_pres",1,0,6,40,3,28,0,0,0,21,0
"208","Swamphen, African","Porphyrio madagascariensis","perc_cards",0,0,15,36,2,34,0,0,0,11,0
"209","Gallinule, Allen's","Porphyrio alleni","perc_pres",0,0,5,5,5,29,0,0,0,56,0
"209","Gallinule, Allen's","Porphyrio alleni","perc_cards",0,0,5,1,4,27,0,0,0,63,0
"210","Moorhen, Common","Gallinula chloropus","perc_pres",1,0,12,37,1,27,0,3,0,18,1
"210","Moorhen, Common","Gallinula chloropus","perc_cards",1,0,13,35,2,33,0,1,0,14,0
"211","Moorhen, Lesser","Paragallinula angulata","perc_pres",0,0,0,17,2,17,0,0,0,65,0
"211","Moorhen, Lesser","Paragallinula angulata","perc_cards",0,0,0,10,6,13,0,0,0,71,0
"212","Coot, Red-knobbed","Fulica cristata","perc_pres",1,0,11,47,0,23,0,3,0,12,1
"212","Coot, Red-knobbed","Fulica cristata","perc_cards",1,0,15,43,0,31,0,1,0,9,0
"213","Finfoot, African","Podica senegalensis","perc_pres",4,0,0,4,9,38,0,0,0,45,0
"213","Finfoot, African","Podica senegalensis","perc_cards",1,0,0,3,7,43,0,0,0,45,0
"214","Crane, Grey Crowned","Balearica regulorum","perc_pres",0,0,0,72,2,21,0,1,0,3,0
"214","Crane, Grey Crowned","Balearica regulorum","perc_cards",0,0,0,70,3,25,0,0,0,1,0
"215","Crane, Wattled","Grus carunculata","perc_pres",0,0,0,89,0,11,0,0,0,0,0
"215","Crane, Wattled","Grus carunculata","perc_cards",0,0,0,94,0,6,0,0,0,0,0
"216","Crane, Blue","Grus paradisea","perc_pres",2,0,20,30,0,30,0,14,0,2,1
"216","Crane, Blue","Grus paradisea","perc_cards",1,0,38,16,0,35,0,7,0,1,1
"217","Bustard, Kori","Ardeotis kori","perc_pres",2,0,0,3,0,28,0,17,1,49,1
"217","Bustard, Kori","Ardeotis kori","perc_cards",1,0,0,1,0,38,0,7,0,53,0
"218","Bustard, Ludwig's","Neotis ludwigii","perc_pres",2,0,4,10,0,36,0,33,0,3,12
"218","Bustard, Ludwig's","Neotis ludwigii","perc_cards",3,0,4,7,0,41,0,31,0,2,12
"219","Bustard, Denham's","Neotis denhami","perc_pres",5,0,26,35,1,28,0,0,0,5,0
"219","Bustard, Denham's","Neotis denhami","perc_cards",4,0,34,20,0,39,0,0,0,2,0
"22","Prion, Antarctic","Pachyptila desolata","perc_pres",0,0,88,0,12,0,0,0,0,0,0
"22","Prion, Antarctic","Pachyptila desolata","perc_cards",0,0,93,0,7,0,0,0,0,0,0
"220","Korhaan, Karoo","Eupodotis vigorsii","perc_pres",1,0,5,0,0,33,0,52,0,0,7
"220","Korhaan, Karoo","Eupodotis vigorsii","perc_cards",2,0,6,0,0,40,0,47,0,0,4
"222","Bustard, White-bellied","Eupodotis senegalensis","perc_pres",1,0,2,61,0,19,0,0,0,17,0
"222","Bustard, White-bellied","Eupodotis senegalensis","perc_cards",1,0,5,41,0,31,0,0,0,23,0
"223","Korhaan, Blue","Eupodotis caerulescens","perc_pres",0,0,0,77,0,14,0,9,0,0,0
"223","Korhaan, Blue","Eupodotis caerulescens","perc_cards",0,0,0,75,0,16,0,9,0,0,0
"224","Korhaan, Red-crested","Lophotis ruficrista","perc_pres",0,0,0,1,0,9,0,2,0,88,0
"224","Korhaan, Red-crested","Lophotis ruficrista","perc_cards",0,0,0,0,0,11,0,0,0,89,0
"227","Bustard, Black-bellied","Lissotis melanogaster","perc_pres",0,0,0,17,3,19,0,0,0,61,0
"227","Bustard, Black-bellied","Lissotis melanogaster","perc_cards",0,0,0,9,2,19,0,0,0,71,0
"228","Jacana, African","Actophilornis africanus","perc_pres",0,0,2,16,4,24,0,0,1,53,0
"228","Jacana, African","Actophilornis africanus","perc_cards",0,0,1,7,6,28,0,0,0,57,0
"229","Jacana, Lesser","Microparra capensis","perc_pres",0,0,0,13,11,40,0,0,0,35,0
"229","Jacana, Lesser","Microparra capensis","perc_cards",0,0,0,7,7,53,0,0,0,33,0
"230","Painted-snipe, Greater","Rostratula benghalensis","perc_pres",0,0,4,14,2,24,0,1,0,54,0
"230","Painted-snipe, Greater","Rostratula benghalensis","perc_cards",0,0,5,8,6,29,0,0,0,51,0
"231","Oystercatcher, African","Haematopus moquini","perc_pres",9,0,31,0,7,47,0,0,1,0,6
"231","Oystercatcher, African","Haematopus moquini","perc_cards",8,0,33,0,1,56,0,0,0,0,1
"232","Turnstone, Ruddy","Arenaria interpres","perc_pres",7,0,21,3,7,52,0,0,1,3,6
"232","Turnstone, Ruddy","Arenaria interpres","perc_cards",6,0,15,0,2,72,0,0,0,1,3
"233","Plover, Common Ringed","Charadrius hiaticula","perc_pres",4,0,17,17,5,38,0,1,1,16,2
"233","Plover, Common Ringed","Charadrius hiaticula","perc_cards",3,0,14,3,4,68,0,0,1,8,1
"234","Plover, Lesser Sand","Charadrius mongolus","perc_pres",0,0,19,0,0,81,0,0,0,0,0
"234","Plover, Lesser Sand","Charadrius mongolus","perc_cards",0,0,7,0,0,93,0,0,0,0,0
"235","Plover, White-fronted","Charadrius marginatus","perc_pres",6,0,20,1,8,47,0,0,1,13,5
"235","Plover, White-fronted","Charadrius marginatus","perc_cards",6,0,19,0,4,65,0,0,1,3,2
"236","Plover, Chestnut-banded","Charadrius pallidus","perc_pres",1,0,16,16,0,45,0,2,3,13,2
"236","Plover, Chestnut-banded","Charadrius pallidus","perc_cards",0,0,4,4,0,88,0,0,0,4,0
"237","Plover, Kittlitz's","Charadrius pecuarius","perc_pres",2,0,16,28,2,28,0,8,0,15,1
