"","PENTADE","Azonal Vegetation","Savanna","Forests","Grassland","NA","Nama-Karoo","Indian Ocean Coastal Belt","Desert","Succulent Karoo","Fynbos","<Null>","Albany Thicket"
"2319","2525_2920",NA,85.6711694687451,NA,14.3247521480875,NA,NA,NA,NA,NA,NA,NA,NA
"2320","2525_2925",NA,91.9370924369995,NA,8.05940179816823,NA,NA,NA,NA,NA,NA,NA,NA
"2321","2525_2930",NA,65.0925108028989,NA,34.9041356270538,NA,NA,NA,NA,NA,NA,NA,NA
"2322","2525_2935",NA,70.6003322248011,NA,29.4000126690631,NA,NA,NA,NA,NA,NA,NA,NA
"2323","2525_2940",NA,3.15919898573587,NA,96.8408010142641,NA,NA,NA,NA,NA,NA,NA,NA
"2324","2525_2945",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2325","2525_2950",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2326","2525_2955",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2327","2525_3000",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2328","2525_3005",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"2329","2525_3010",NA,NA,0.956300886182077,99.0436991138179,NA,NA,NA,NA,NA,NA,NA,NA
"2330","2525_3015",NA,NA,0.62481092194768,99.3733068769083,NA,NA,NA,NA,NA,NA,NA,NA
"2331","2525_3020",NA,NA,0.0642632526789482,99.9352275355103,NA,NA,NA,NA,NA,NA,NA,NA
"2332","2525_3025",NA,17.2413083223835,0.758489212025277,82.00436408879,NA,NA,NA,NA,NA,NA,NA,NA
"2333","2525_3030",NA,5.87573880472299,8.27355645808846,85.8504671859401,NA,NA,NA,NA,NA,NA,NA,NA
