system:index,0,1,AREA,Area_km2,Area_m2,BOTTOM,CENTREX,CENTREY,ID,LABEL,LEFT,PENTADE,QDGC,RIGHT,TOP,histogram,.geo
0000000000000000005a,95628.88627450971,,0.0069,79.15,7.915125061E7,-22.5,30.208333,-22.458333,11031,GY42,30.166667,2225_3010,2230AC,30.25,-22.416667,{0=95628.88627450971},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,95606.83921568669,16.0,0.0069,79.15,7.915125061E7,-22.5,30.291667,-22.458333,11032,HZ42,30.25,2225_3015,2230AD,30.333333,-22.416667,"{1=16.0, 0=95606.83921568669}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,95622.83137254936,,0.0069,79.15,7.915125061E7,-22.5,30.375,-22.458333,11033,HA42,30.333333,2225_3020,2230AD,30.416667,-22.416667,{0=95622.83137254936},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,95627.67843137223,,0.0069,79.15,7.915125061E7,-22.5,30.458333,-22.458333,11034,HB42,30.416667,2225_3025,2230AD,30.5,-22.416667,{0=95627.67843137223},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,95624.0313725493,,0.0069,79.15,7.915125061E7,-22.5,30.541667,-22.458333,11035,HC42,30.5,2225_3030,2230BC,30.583333,-22.416667,{0=95624.0313725493},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,95624.04705882362,,0.0069,79.15,7.915125061E7,-22.5,30.625,-22.458333,11036,HD42,30.583333,2225_3035,2230BC,30.666667,-22.416667,{0=95624.04705882362},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,95627.67843137258,,0.0069,79.15,7.915125061E7,-22.5,30.708333,-22.458333,11037,HE42,30.666667,2225_3040,2230BC,30.75,-22.416667,{0=95627.67843137258},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,95599.83921568637,23.0,0.0069,79.15,7.915125061E7,-22.5,30.791667,-22.458333,11038,HF42,30.75,2225_3045,2230BD,30.833333,-22.416667,"{1=23.0, 0=95599.83921568637}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,95627.67843137281,,0.0069,79.15,7.915125061E7,-22.5,30.875,-22.458333,11039,HG42,30.833333,2225_3050,2230BD,30.916667,-22.416667,{0=95627.67843137281},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,95604.03921568656,20.0,0.0069,79.15,7.915125061E7,-22.5,30.958333,-22.458333,11040,HH42,30.916667,2225_3055,2230BD,31.0,-22.416667,"{1=20.0, 0=95604.03921568656}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,95622.83137254868,,0.0069,79.15,7.915125061E7,-22.5,31.041667,-22.458333,11041,HI42,31.0,2225_3100,2231AC,31.083333,-22.416667,{0=95622.83137254868},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,95610.89411764764,18.0,0.0069,79.15,7.915125061E7,-22.5,31.125,-22.458333,11042,HJ42,31.083333,2225_3105,2231AC,31.166667,-22.416667,"{1=18.0, 0=95610.89411764764}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,95612.83137254907,10.0,0.0069,79.15,7.915125061E7,-22.5,31.208333,-22.458333,11043,HK42,31.166667,2225_3110,2231AC,31.25,-22.416667,"{1=10.0, 0=95612.83137254907}","{""type"":""MultiPoint"",""coordinates"":[]}"
